Region,Area,Territory,Town Code,SAP Code,Town,OrderDate,SO Code,SO Name,Route Code,Route Name,Outlet Code,Outlet Name,Brand Name,SKU Code,Order SKU Name,Order in Pcs,Free in PCS,Order Gross Value(TP),Free Order Value(TP),Discount,Net Order Value(TP),BusinessType
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C340047,Kowser Store,LILY,1400000528,LILY Silkore Silk & Shine Shampoo 5.25ml,56,4,95,6.8,0,95.2,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C340057,Jhura Cosmetic,LILY,1400000121,LILY Cucumber Facewash Gel 100ml,2,2,236,236.22,0,236.22,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C340057,Jhura Cosmetic,LILY,1400000123,LILY Lemon Facewash Gel 100ml,2,0,236,0,0,236.22,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C340059,Ma Babar Doya Store,LILY,1400001097,Lily Beli Pearls Beauty Soap-100gm(H)60tk,12,2,662,110.4,0,662.4,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C340064,Vai Vai Gift Corner,LILY,1400000182,Lily Elegant Rose Beauty Soap 75 gm,3,0,124,0,0,123.84,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C340064,Vai Vai Gift Corner,LILY,1400000183,Lily Milk Bath Beauty Soap 75 gm,3,0,124,0,0,123.84,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C340064,Vai Vai Gift Corner,LILY,1400000382,Lily Beli Pearls Beauty Soap 75 gm,3,2,124,82.56,0,123.84,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C340064,Vai Vai Gift Corner,LILY,1400000383,Lily Lime Punch Beauty Soap 75 gm,3,0,124,0,0,123.84,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C340066,Maruf Cosmetik,LILY,1400000182,Lily Elegant Rose Beauty Soap 75 gm,3,0,124,0,0,123.84,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C340066,Maruf Cosmetik,LILY,1400000183,Lily Milk Bath Beauty Soap 75 gm,3,0,124,0,0,123.84,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C340066,Maruf Cosmetik,LILY,1400000382,Lily Beli Pearls Beauty Soap 75 gm,3,2,124,82.56,0,123.84,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C340066,Maruf Cosmetik,LILY,1400000383,Lily Lime Punch Beauty Soap 75 gm,3,0,124,0,0,123.84,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C359735,Ms Toha Enter price,LILY,1400000528,LILY Silkore Silk & Shine Shampoo 5.25ml,56,4,95,6.8,0,95.2,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00050,Md. Al-Mamun,B-008865,Bagbari,C366508,Salam store,LILY,1400000528,LILY Silkore Silk & Shine Shampoo 5.25ml,56,4,95,6.8,0,95.2,Distributor-HPC
Bogura,Bogura,Bogura,D012,3100002830,Bogura,20-May-26,SO00699,Mobarok Hosain Sajol,B-002893,Jahurul Nagar,C085274,Naim Noman Store,LILY,1400000528,LILY Silkore Silk & Shine Shampoo 5.25ml,56,4,95,6.8,0,95.2,Distributor-HPC
